route_description,predicted_avg_delay,service_reliability_rate,trip_count,headway_irregularity,norm_delay,norm_headway,route_risk_score
"Kingsway, Coniston Road Shops - Chester Bus Interchange",2.077517416418243,0.3176043557168784,551,0.0,0.14446421358330952,0.0,0.24283101786243516
Paradise St - Towerhill/Northwood,2.798324980902676,0.6108833395452852,5366,0.3955466794944439,0.21322775977344094,0.1011886266316412,0.22919020165830947
Liverpool - Bromborough,2.2623616636809176,0.5683060109289617,183,0.5,0.16209797127523717,0.1279098420962254,0.22094994342943453
Rainford HS - New Road (adj) Eccleston Park,1.93228300172215,0.5977011494252874,261,0.5,0.13060915173959162,0.1279098420962254,0.1978567490375303
Northwood - Kirkby HS,1.504896469946097,0.5287356321839081,522,0.5,0.08983736330831553,0.1279098420962254,0.1947122341322371
Birkenhead Bus Station - Wembley Road,1.6621525854021435,0.43103448275862066,522,0.0,0.10483927046307326,0.0,0.19466101454188145
Liverpool - Tower Hill,1.168240390446786,0.6451048951048951,1144,1.1627938830585716,0.05772107178549067,0.2974655639449574,0.1919507031027609
Boughton Heath PR - Chester,2.253598923541438,0.5709823263460748,12165,0.0,0.1612620240460149,0.0,0.18788543043648875
Heswall Bus Station - Liverpool,1.9315575170336061,0.631003955547184,5309,0.4646702952556799,0.13053994200546984,0.11887180818592091,0.18723693416241916
Croft Retail Park - West Kirby,1.582844707086002,0.6251968503937008,1270,0.6967965104153983,0.09727346341201379,0.17825426324086896,0.18690108491779894
Northwood - Liverpool,1.6080692237093366,0.7139250094685015,31684,1.0165304267280324,0.09967982996449723,0.2600484927375825,0.18637078579951888
Eastham Rake Railway Station - Moreton Cross,1.7122979037573618,0.6575835475578407,1945,0.5068539756529551,0.109623029797514,0.12966322398322713,0.17283143400510362
"Heswall Bus Station, D - Liverpool, Whitechapel",1.3173068428840111,0.6595092024539877,1304,0.7281895830788435,0.07194170207937202,0.1862852291754622,0.16766485772005463
Liverpool ONE - Hope Uni,1.2811580554317497,0.7036532606954014,12482,0.9116812432161678,0.06849318275442741,0.23322600772374102,0.16663977813429862
Huyton - Tower Hill,1.8227075714134746,0.6898267142028024,12061,0.41522971786008434,0.12015588302462817,0.10622393529028724,0.1641772467841853
Birkenhead Bus Station - Heswall Bus Station,1.7350434047964447,0.7325,800,0.622902122868209,0.11179290340648113,0.15935062435495245,0.16260910779197868
Rainford HS - Windle Hall Drive,1.8408036080727623,0.7547892720306514,261,0.5,0.12188220737802097,0.1279098420962254,0.154221246205404
Chester Railway Station - Rock Ferry Depot,1.5027615336770646,0.6567164179104478,201,0.282842712474619,0.08963369481760872,0.07235673338139322,0.14872692627654072
"Chester Interchange, Stand L - Chester Bus Interchange",1.556147598465532,0.6056547619047619,672,0.0,0.09472661463819478,0.0,0.14594961684290692
"Ledsham Garden Village - Rivacre, Naylor Place",1.4892991857863427,0.6283298097251586,2365,0.11198947348421548,0.08834941475920866,0.028649111739610853,0.14425453288321738
Gardiner Avenue - Basildon Close,1.7889750290182194,0.7969348659003831,261,0.5,0.11693786846513084,0.1279098420962254,0.141212678281526
"Rivacre, Naylor Place - Ledsham, Bayweaver Street",1.361317686686656,0.6346755277560594,5116,0.129269458142873,0.07614024526871059,0.03306967195783901,0.13766865868480022
Chester Railway Station - Wrexham Bus Station,1.412001501387273,0.7358762144656351,2779,0.3585330158128973,0.08097537603728233,0.09171980287782237,0.129448585121688
"Tarvin St Andrew's Church - Crewe Bus Station, 5",1.4641683000399286,0.8431372549019608,510,0.5,0.08595198039812714,0.1279098420962254,0.11416913699762973
New Brighton Seafront Service,1.5419685684107194,0.753934191702432,699,0.031126486012524598,0.09337396458824317,0.00796276782174478,0.11019412632394977
Winsford Library - Winsford Library,1.4960187682817927,0.8709862385321101,1744,0.4233202097703345,0.088990448988136,0.10829364237572903,0.10382207545497274
Gamble Avenue - Elton Head Road,1.8795346082044224,0.9942528735632183,522,0.5,0.1255770644352556,0.1279098420962254,0.09620277435087957
Liverpool ONE Bus Station - Exchange Street,1.497007676669188,0.8175872093023255,2752,0.0,0.08908478879660223,0.0,0.09014559207271973
Halewood Acad - South Parkway,1.6779427246882335,0.9961685823754789,261,0.5,0.1063456169911154,0.1279098420962254,0.08610812342574434
"Liverpool, Sir Thomas Street - Heswall Bus Station",0.8873568485277221,0.9143790849673202,1530,0.6132454129544449,0.030925364636365166,0.1568802478744752,0.07608797304497132
Tower Hill - Liverpool,1.1670153690564338,0.9223776223776223,1430,0.4137995321590881,0.057604207286406736,0.10585806563592183,0.07467221445777825
Chester Bus Interchange - Crewe Bus Station,1.2492109510543286,0.9215896885069818,1862,0.2688920101094939,0.0654454952775777,0.06878786910808403,0.06952229278906442
Range High School - Westminster Drive,1.3027421204399772,1.0,261,0.5,0.07055225777568588,0.1279098420962254,0.0672535894118993
Birkenhead Bus Station - Liverpool ONE Bus Station,1.24802770313291,1.0,157,0.5,0.06533261588076249,0.1279098420962254,0.06464376846443759
Liverpool - Eastham Bridle Road,1.0754699977870334,1.0,189,0.4714045207910317,0.048870968796770865,0.12059455563565535,0.05458412330729927
Birkenhead Bus Station - Chester Bus Interchange,0.8946952343274148,1.0,218,0.5618005667134629,0.031625431416684134,0.143719643555778,0.05174262659728657
Brookway Lane - Mill Lane,0.9496949935743367,1.0,261,0.5,0.03687229434066986,0.1279098420962254,0.05041360769439128
Gamble Avenue - Roper Street,0.9352780896378801,1.0,261,0.5,0.03549695161592708,0.1279098420962254,0.049725936332019896
Queens Sq - Kirkby Admin,0.9026454549124364,1.0,673,0.5,0.03238386596614796,0.1279098420962254,0.04816939350713033
Clatterbridge Hospital - Eastham Rake Railway Station,0.7975008222013085,1.0,217,0.5,0.022353286149401044,0.1279098420962254,0.04315410359875688
"Chester Interchange, Stand E - Frodsham Bears Paw",0.7327537372281886,1.0,1123,0.5,0.016176548573942864,0.1279098420962254,0.040065734811027785
Kirkby - Liverpool,0.673718953112604,1.0,195,0.5263157894736842,0.01054475264896529,0.13464193904865834,0.03893286108664723
Chester - Ellesmere Port - Cheshire Oaks,0.5631845508586047,1.0,1511,0.5355123131170748,0.0,0.13699459082277893,0.03424864770569473
Maghull Station - Moorland Road,0.6039624129131405,1.0,156,0.5,0.0038901234380461767,0.1279098420962254,0.03392252224307944
Rose Lane - Birkenhead Bus Station,1.228185176153943,1.0,516,0.0,0.06343967997432114,0.0,0.03171983998716057
"Chester Interchange, Stand B - Kingsway, Coniston Road Shops",0.7278163889439271,1.0,528,0.0,0.01570553579115607,0.0,0.007852767895578035
